source,target,code,match
https://search.cesipagano.com/i/brea-homes-for-sale,https://www.cesipagano.com/listing-report/Brea-Homes-for-Sale/2996499,301,url
https://search.cesipagano.com/i/brea-listings-0-500000,https://www.cesipagano.com/listing-report/Brea-Listings-0-500-000/2996503,301,url
https://search.cesipagano.com/i/brea-listings-1500000-,https://www.cesipagano.com/listing-report/Brea-Listings-1-500-000/2996505,301,url
https://search.cesipagano.com/i/brea-listings-500000-750000,https://www.cesipagano.com/listing-report/Brea-Listings-500-000-750-000/2996506,301,url
https://search.cesipagano.com/i/brea-listings-750000-1000000,https://www.cesipagano.com/listing-report/Brea-Listings-750-000-1-000-000/2996559,301,url
https://search.cesipagano.com/i/cesi-pagano-featured-sidebar-listings,,301,url
https://search.cesipagano.com/i/costa-mesa-active-condos-and-townhome,https://www.cesipagano.com/listing-report/Costa-Mesa-Active-Condos-and-Townhome/2996599,301,url
https://search.cesipagano.com/i/costa-mesa-foreclosures,https://www.cesipagano.com/listing-report/Costa-Mesa-Foreclosures/2996602,301,url
https://search.cesipagano.com/i/costa-mesa-homes-1000000-1500000,https://www.cesipagano.com/listing-report/Costa-Mesa-Homes-1-000-000-1-500-000/2996603,301,url
https://search.cesipagano.com/i/costa-mesa-homes-for-sale,https://www.cesipagano.com/listing-report/Costa-Mesa-Homes-for-sale/2996604,301,url
https://search.cesipagano.com/i/costa-mesa-listings-0-500000,https://www.cesipagano.com/listing-report/Costa-Mesa-Listings-0-500-000/2996605,301,url
https://search.cesipagano.com/i/costa-mesa-listings-1500000-,https://www.cesipagano.com/listing-report/Costa-Mesa-Listings-1-500-000/2996606,301,url
https://search.cesipagano.com/i/costa-mesa-listings-500000-750000,https://www.cesipagano.com/listing-report/Costa-Mesa-Listings-500-000-750-000/2996607,301,url
https://search.cesipagano.com/i/costa-mesa-listings-750000-1000000,https://www.cesipagano.com/listing-report/Costa-Mesa-Listings-750-000-1-000-000/2996608,301,url
https://search.cesipagano.com/i/coto-de-caza-active-condos-and-townhome,https://www.cesipagano.com/listing-report/Coto-de-Caza-Active-Condos-and-Townhome/2996609,301,url
https://search.cesipagano.com/i/coto-de-caza-foreclosures,https://www.cesipagano.com/listing-report/Coto-de-caza-Foreclosures/2996610,301,url
https://search.cesipagano.com/i/coto-de-caza-homes-1000000-1500000,https://www.cesipagano.com/listing-report/Coto-de-Caza-Homes-1-000-000-1-500-000/2996611,301,url
https://search.cesipagano.com/i/coto-de-caza-homes-for-sale,https://www.cesipagano.com/listing-report/Coto-de-Caza-Homes-for-sale/2996612,301,url
https://search.cesipagano.com/i/coto-de-caza-listings-0-500000,https://www.cesipagano.com/listing-report/Coto-de-Caza-Listings-0-500-000/2996613,301,url
https://search.cesipagano.com/i/coto-de-caza-listings-1500000-,https://www.cesipagano.com/listing-report/Coto-de-Caza-Listings-1-500-000/2996614,301,url
https://search.cesipagano.com/i/coto-de-caza-listings-500000-750000,https://www.cesipagano.com/listing-report/Coto-de-Caza-Listings-500-000-750-000/2996615,301,url
https://search.cesipagano.com/i/coto-de-caza-listings-750000-1000000,https://www.cesipagano.com/listing-report/Coto-de-Caza-Listings-750-000-1-000-000/2996616,301,url
https://search.cesipagano.com/i/dana-point-active-listings,https://www.cesipagano.com/listing-report/Dana-Point-Active-Listings/2996617,301,url
https://search.cesipagano.com/i/dana-point-condos-and-short-sales-for-sale,https://www.cesipagano.com/listing-report/Dana-Point-Condos-and-Short-Sales-for-Sale/2996618,301,url
https://search.cesipagano.com/i/dana-point-listings-1000000-1500000,https://www.cesipagano.com/listing-report/Dana-Point-Listings-1-000-000-1-500-000/2996619,301,url
